Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.888057708740234,102223600
2018-01-03,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.88094711303711,118071600
2018-01-04,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.07083511352539,89738400
2018-01-05,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.53843688964844,94640000
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.3841552734375,82271200
2018-01-09,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.37941360473633,86336000
2018-01-10,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.36991500854492,95839600
2018-01-11,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.60490417480469,74670800
2018-01-12,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,42.034523010253906,101672400
2018-01-16,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.82090377807617,118263600
2018-01-17,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.51162338256836,137547200
2018-01-18,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.54960250854492,124773600
2018-01-19,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.359718322753906,129700400
2018-01-22,44.32500076293945,44.44499969482422,44.150001525878906,44.25,42.01316833496094,108434400
2018-01-23,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,42.02266311645508,130756400
2018-01-24,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.35329818725586,204420400
2018-01-25,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.61510467529297,166116000
2018-01-26,43.0,43.0,42.51499938964844,42.877498626708984,40.71004867553711,156572000
2018-01-29,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.86741638183594,202561600
2018-01-30,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.632415771484375,184192800
2018-01-31,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.74161148071289,129915600
2018-02-01,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.82469177246094,188923200
2018-02-02,41.5,41.70000076293945,40.025001525878906,40.125,38.0966796875,346375200
2018-02-05,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.14486312866211,290954000
2018-02-06,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.69721221923828,272975200
2018-02-07,40.772499084472656,40.849998474121094,39.76750183105469,39.8849983215332,37.86881637573242,206434400
2018-02-08,40.0724983215332,40.25,38.75749969482422,38.787498474121094,36.8267936706543,217562000
2018-02-09,39.26750183105469,39.47249984741211,37.560001373291016,39.102500915527344,37.27724075317383,282690400
2018-02-12,39.625,40.97249984741211,39.377498626708984,40.6775016784668,38.77872085571289,243278000
2018-02-13,40.48749923706055,41.1875,40.412498474121094,41.084999084472656,39.167198181152344,130196800
2018-02-14,40.7599983215332,41.8849983215332,40.720001220703125,41.842498779296875,39.88934326171875,162579600
